term,gloss,forms,occurrences
"narrate","to tell, relate, narrate, recount, describe, intimate",1,2
"impatient","impatient, intolerant",1,2
"having entered","having entered",1,2
"intuitive","coming from direct seeing or immediate understanding, intuitive",1,2
"invert","to turn upside-down, over or around, invert, upset",1,2
"irreverent","disrespectful, irreverent",1,2
"unwittingly","unwittingly",1,2
"redden","to grow or turn red, redden",1,2
"vascones","A pre-Roman tribe that populated an area along the Pyrenees",1,2
"discard","a throwing away",1,2
"janiculum","Janiculum (a hill in western Rome, Italy)",1,2
"jesus","a male given name, equivalent to English Joshua",1,2
"authorize","to authorize, to legitimate, to make lawful, to homologate, to pass (a bill or law or decision)",1,2
"agreeableness","agreeableness, pleasantness, pleasurableness, charm, delight, enjoyment",1,2
"judicial","relating to the administration of justice; judiciary",1,2
"abilene","Abilene (a region of Syria)",1,2
"cayster","Cayster river; Küçük Menderes, Turkey",1,2
"pouch","A pouch, a wallet, such as Perseus wore",1,2
"cornelius","Cornelius; any individual among the Cornelii",1,2
"violence","violence, greed",1,2
"lacedaemonian","an inhabitant of Lacedaemon; a Lacedaemonian",1,2
"torchbearer","runner in a torch race",1,2
"torch comet","kind of comet resembling a torch",1,2
"laodicea","Laodicea, the name of numerous Hellenistic cities, generally named after one of many women by the name of Λαοδίκη (Laodíkē) (Laodice).",1,2
"antimony","stibium, antimony",1,2
"bestow","to grant, bestow, dispense, distribute, impart",1,2
"abundance","abundance, bounty, liberality",1,2
"lectern","A lectern",1,2
"soften","to become viscous or sticky, soften",1,2
"leucimme","Leucimme (a promontory in Corfu, Greece)",1,2
"lighten","to make light, lighten",1,2
"lebanon","Lebanon, Mount Lebanon (a mountain range in the country of Lebanon, West Asia; in full, Mount Lebanon)",1,2
"unrestrained","licentious, full of freedom, free, unbridled, unrestrained, wanton",1,2
"bandage","bandage",1,2
"lily bed","a bed of lilies",1,2
"linseed","linseed",1,2
"to croak","to croak",1,2
"liquefied","melted, (having been) liquefied",1,2
"stone extractor","instrument for extracting stones",1,2
"lithuania","Lithuania",1,2
"livermorium","livermorium",1,2
"long-lived","long-lived",1,2
"luxuriant","to be luxuriant, rank, abounding to excess",1,2
"lycaonian","Lycaonia (a region of Asia Minor)",1,2
"having dared","aorist active participle of θᾰρσέω (thărséō)",1,2
"having devised","having devised",1,2
"royal paper","large-sized paper, royal paper",1,2
"patience","long-suffering, patience",1,2
"magdolus","Magdolus, Lower Egypt, Egypt",1,2
"maieutics","maieutics",1,2
"maenalus","Maenalus; Mainalo",1,2
"dry land","dry land (as opposed to sea)",1,2
"poultice","emollient, poultice, cataplasm",1,2
"somalia","Malao; Berbera, Somalia",1,2
"seuthes","a male given name, Seuthes, from Thracian",1,2
"marcion","Marcion, a diminutive of the male given name Mārcus, from Koine Greek, particularly Marcion of Sinope.",1,2
"ascheium","Ascheium, Achaea, Greece",1,2
"harvey","Harvey (attributive); used in taxonomic names for organisms having English names of the form ""Harvey's ...""",1,2
"marble","made of marble",1,2
"marble-mason","marble-mason",1,2
"mascames","a male given name, Mascames, from Old Persian, a Persian commander",1,2
"mideia","a town of Boeotia situated not far from Onchestus and Haliartus",1,2
"guardian","guardian",1,2
"moderately","moderately, ordinarily",1,2
"mediomatrici","A tribe of Gallia Belgica, whose chief town was Divodurum",1,2
"was seen","first-person singular aorist passive indicative of ὁράω (horáō)",1,2
"unbroken","unbroken (not divided into parts)",1,2
"no longer","no more, no longer, no further",1,2
"mecisteus","Mecisteus, son of Talaus, brother of Adrastus and father of Euryalus",1,2
"black-cloaked","black-cloaked",1,2
"blackcap","Eurasian blackcap (Sylvia atricapilla)",1,2
"seen","second-person singular aorist passive subjunctive of ὁράω (horáō)",1,2
"roofbeam","roofbeam, ridgepole, vault of the roof",1,2
"meligunis","Another name of the Lipara island",1,2
"revel","to celebrate with song and dance",1,2
"relater","relater, someone who recounts or mentions",1,2
"menstruate","to menstruate; have a monthly period",1,2
"black gem","An unknown black gem, with a white stripe",1,2
"having changed","aorist middle participle of μεθᾰ́λλομαι (methắllomai)",1,2
"calabash","calabash",1,2
"foundation","founding, foundation, especially of temples",1,2
"intoxicate","to intoxicate, make drunk",1,2
"isaeus","Isaeus",1,2
"mean-spirited","mean-spirited",1,2
"military service","military service",1,2
"five hundredth","five hundredth",1,2
"minturnae","Minturnae, Latium; Minturno, Lazio, Italy",1,2
"piecemeal","little by little, piecemeal",1,2
"gladiator","a kind of gladiator, known for wearing a Gallic helmet with the image of a fish",1,2
"missouri","Missouri",1,2
"soften","to become soft; to soften",1,2
"unitary","unitary (having the quality of oneness)",1,2
"peevishness","peevishness, fretfulness, moroseness, gloom, ill-humor, moodiness, morosity",1,2
"fied","simple past and past participle of -fy",1,2
"groaning","moaning, groaning",1,2
"moo","to moo, low, bellow",1,2
"eel necklace","small necklace resembling an eel",1,2
"fly-flapping","flapping away flies",1,2
"myocardium","myocardium",1,2
"narrator","narrator",1,2
"longnose","a man or woman with a large or pointed nose",1,2
"swimmable","which is to be swum across",1,2
"necromancer","necromancer",1,2
"calchas","a male given name, Calchas",1,2
"nicander","a male given name from Ancient Greek Νίκανδρος (Níkandros)",1,2
"nicomedia","Nicomedia (capital city of Bithynia)",1,2
"nitre","sodium carbonate or sodium nitrate (or perhaps mineral potassium nitrate), which were not distinguished in Europe until the 13th century",1,2
"play","play (act of playing)",1,2
"november","of November",1,2
"numerable","countable, numerable",1,2
"suckled","suckled, nourished, having been suckled.",1,2
"in debt","in debt",1,2
"frequenter","frequenter (of a place)",1,2
"redo","to act upon again, to do again",1,2
"octogesa","a town in Hispania Tarraconensis situated on the Iberus",1,2
"oechalia","A city of Messenia",1,2
"oligarch","oligarch",1,2
"encountered","encountered",1,2
"orontobates","a male given name, Orontobates, from Old Persian",1,2
"exhibit","to exhibit, show, present",1,2
"peacemaker","peacemaker, pacifier, pacificator",1,2
"paeonian","of or belonging to Paeonia, Paeonian",1,2
"palaestra","wrestling school, palaestra; place of exercise; gymnasium",1,2
"palilogy","palilogy",1,2
"concubine","concubine, young girl",1,2
"prop","to support with stakes, pales or props, prop up",1,2
"absolute monarch","absolute monarch",1,2
"combatant","a combatant in the pancratium, a pancratiast",1,2
"all-powerful","all-powerful",1,2
"en masse","with the whole people, en masse",1,2
"all-night","all-night",1,2
"everywhere","from all quarters, from every side",1,2
"papyrus marsh","papyrus marsh",1,2
"ausones","Ausones (an Italic tribe known also as Aurunci)",1,2
"amurca","watery part which runs out when olives are pressed, amurca",1,2
"prudence","prudence, practical wisdom",1,2
"archabis","river Archabis, Pontus, Turkey",1,2
"operculum","onycha, the operculum of kinds of strombus or muricid, smoked ritually and medicinally",1,2
"parturient","about to bear (give birth)",1,2
"exile","temporary residency in a foreign land",1,2
"proverb","a byword, saying, proverb, maxim",1,2
"orobiae","Orobiae, Euboea, Greece",1,2
"paroxysm","paroxysm",1,2
"parrhasia","Parrhasia, Arcadia, Greece",1,2
"patronal","of or belonging to a patron",1,2
"comb-like","in the form of a comb, like the teeth of a comb",1,2
"bovine","of cattle, beast-like",1,2
"pedasus","Pedasus, the name of two different towns mentioned in the Iliad",1,2
"peducaean","of or pertaining to the gens Peducaea.",1,2
"peisistratus","a male given name, equivalent to English Peisistratus or Pisistratus",1,2
"sent","sent",1,2
"drinking bout","drinking bout",1,2
"very attentive","very attentive",1,2
"percote","Percote, Troad, Turkey",1,2
"very easy","very easy",1,2
"faithlessness","faithlessness, dishonesty, treachery, falsehood, perfidy",1,2
"very cold","very cold",1,2
"periclymenus","Poriclymenus; Periclymenus",1,2
"circumcision","a cutting all round, mutilation, lopping, docking, trepanning",1,2
"perimeter","perimeter",1,2
"nine-year","nine years long",1,2
"female name","a female given name in Old High German [6th C. CE]",1,2
"ambulatory","Given to walking around",1,2
"periphery","a periphery; outer bounds",1,2
"circumflex","the Greek circumflex ( ͂ )",1,2
"confusedly","confusedly",1,2
"studiously","studiously",1,2
"pestilential","pestilential, unhealthy",1,2
"erasinus","Erasinus, a river of Argolis",1,2
"purple dye","kind of purple dye",1,2
"simulative","able to produce the appearance of something",1,2
"pharmacy","pharmacy",1,2
"pharnabazus","a male given name, equivalent to English Pharnabazus",1,2
"phaselite","an inhabitant of Phaselis",1,2
"pherecrates","Pherecrates (celebrated Athenian poet of the Old Comedy)",1,2
"philebus","a male given name, equivalent to English Philebus",1,2
"philocrates","a male given name, equivalent to English Philocrates",1,2
"flavius","Flavius",1,2
"babbler","idle talker, babbler, chatterer",1,2
"phoebean","Phoebean",1,2
"filicudi","Filicudi, one of the Lipari Islands",1,2
"vocal coach","teacher of singing and elocution",1,2
"phrataphernes","a male given name, Phrataphernes, from Old Median, a satrap of Parthia and Hyrcania",1,2
"fortress","hill-fort, fortress, citadel",1,2
"pindar","Pindar",1,2
"pisa","an ancient region of Elis, in modern Greece, corresponding to the modern town of Pisa",1,2
"fishpond","of or pertaining to fish ponds",1,2
"arrowhead","A plant, the arrowhead",1,2
"nursery","nursery (for young plants)",1,2
"plantar","Plantar; related to the foot.",1,2
"partisan","partisan, a kind of spear",1,2
"populist","populist (politician, judge etc.)",1,2
"pleistarchus","a male given name, Pleistarchus",1,2
"water vessel","earthen vessel for water",1,2
"fledge","to fledge (grow feathers)",1,2
"may sell","contracted third-person plural present active subjunctive of πωλέω (pōléō)",1,2
"unworkable","wrought with much toil, hard to shape, especially as a Homeric epithet of iron (contrasted with malleable copper)",1,2
"discourse","discourse, conversation",1,2
"ingenious","thoughtful, ingenious, inventive",1,2
"multiform","many-faced, multiform, everchanging",1,2
"pompeloan","of or pertaining to Pompelo (modern Pamplona), in Navarre, Spain.",1,2
"tarpeia","Tarpeia",1,2
"thought","uncontracted second-person singular imperfect active indicative of δοκέω (dokéō)",1,2
"seats","ellipsis of populāria spectācula or populāria subsellia: the seats of the people at the theater",1,2
"purple-born","born to the purple, an epithet of some Byzantine royals",1,2
"poseidonia","Poseidonia: A placename.",1,2
"crupper","crupper (contrivance to keep a saddle from sliding forward)",1,2
"postumius","Postumius",1,2
"enchanter","enchanter",1,2
"prelude","a prelude",1,2
"premeditated","having previously considered, premeditated",1,2
"praenestine","Praenestine",1,2
"premark","to mark or note beforehand",1,2
"prescient","prescient",1,2
"prefixed","prefixed",1,2
"delusive","delusive",1,2
"moreover","besides, moreover",1,2
"prevaricator","A person (especially an advocate) who violates his duty; prevaricator",1,2
"priscillianist","a Priscillianist",1,2
"tricorythus","a town of Attica situated on the plain of Marathon",1,2
"beebe","Beebe (attributive); used in taxonomic names for organisms that often have English names of the form ""Beebe's ...""",1,2
"impudence","boldness, shamelessness, impudence",1,2
"cut through","to cut one's way forward",1,2
"extensible","fit for prolongation or lengthening",1,2
"refute beforehand","to undo, refute before",1,2
"aphnitis","A swamp of Mysia",1,2
"propagation","propagation",1,2
"prolong","to prolong, draw out, keep (something) going",1,2
"firstborn","first-born, first-created",1,2
"stern","pertaining to the stern of a boat or ship",1,2
"prytaneum","prytaneum",1,2
"sand-diver","name of a fish that buries itself in the sand (literally sand-diver)",1,2
"false apostle","false apostle",1,2
"ananias","a male given name from Hebrew, equivalent to English Ananias",1,2
"bronchi","bronchial tubes; bronchi",1,2
"centaur","Centaur, a member of a savage race dwelling between Mt. Pelion and Mt. Ossa on the Northeastern coast of Thessaly.",1,2
"migraine","pain on one side of the head or face, migraine",1,2
"laryngeal","of or pertaining to the larynx; laryngeal",1,2
"unmixed","not mixed with barley",1,2
"theseus","Theseus",1,2
"pteranodon","pteranodon",1,2
"ptolemy","Ptolemy (name of Greek origin)",1,2
"appetizer","a small portion of meat or fish eaten as a starter to a meal (later applied to larger savory dishes)",1,2
"pupienus","A Roman Emperor, Pupienus",1,2
"quadrangular","four-cornered, quadrangular",1,2
"quadrigary","of or pertaining to a quadriga (four horse team)",1,2
"crossroads","a crossroads; place where four ways meet.",1,2
"formerly","at a certain time, at one time, once, heretofore, formerly",1,2
"to glean","to glean",1,2
"coachman","coachman; coach driver; carriage driver",1,2
"hastily","hastily, suddenly, speedily, hurriedly",1,2
"balding","balding in front (especially with a bald forehead)",1,2
"recited","read aloud, having been read aloud, recited, having been recited",1,2
"renewed","renewed",1,2
"contractor","contractor, undertaker, purveyor, farmer",1,2
"reflux","a backward flow",1,2
"relativity","relativity",1,2
"soften","to become soft or soften again",1,2
"little kidney","little kidney",1,2
"restrainer","restrainer, represser",1,2
"nationalize","to seize, to confiscate, to make public property, to nationalize",1,2
